Code,Issuer,Type,Underlying,Strike,Maturity,Moneyless,Ratio,Last,%Change,Gearing,EffGearing,IV,Premium,Delta,Turnover,Outstanding,%Outstanding,Calllevel,Issued,AdjLast,Time
10008,JP,EU/CALL,N225,21500,2019-09-13,-4.227,500,0.018,-5.263,31138.2,200.213,6.78536,4.23042,0.00642982,0,0,0,0,100000000,8.99999961256981,2019-08-22 15:00:00
10012,JP,EU/PUT,N225,18000,2019-09-13,-12.74,500,0.012,0,46707.3,-71.6056,18.7,12.7421,-0.00153307,0,1200000,1.2,0,100000000,6.00000005215406,2019-08-22 15:00:00
10013,BP,EU/CALL,CNH,6.95,2019-09-24,1.878,1,0.201,8.065,31.7643,20.7537,17.1718,1.27046,0.653367,500000,30000,0.06,0,50000000,0.20100000500679,2019-08-22 15:00:00
10022,BP,EU/PUT,CNH,6.68,2019-09-24,-5.69,1,0.015,0,425.641,-43.2468,15.5444,5.92462,-0.101604,0,20000,0.04,0,50000000,0.0149999996647239,2019-08-22 15:00:00
10023,BP,EU/CALL,JPY,111,2019-09-24,-4.314,1,0.02,-9.091,72282.2,190.49,4.96245,4.31489,0.00263536,0,1300000,2.6,0,50000000,0.0199999995529652,2019-08-22 15:00:00
10026,BP,EU/PUT,JPY,104,2019-09-24,-2.265,1,0.069,4.545,20951.4,-250.297,3.3865,2.2696,-0.0119466,248380,4300000,8.6,0,50000000,0.0689999982714653,2019-08-22 15:00:00
10035,BP,EU/CALL,EUR,1.2,2019-09-24,-8.303,1,0.01,0,12.7448,5.62636,91.8095,16.1496,0.441464,0,30000,0.06,0,50000000,0.00999999977648258,2019-08-22 15:00:00
10038,BP,EU/PUT,EUR,1.11,2019-09-24,0.181,1,0.115,2.679,1.10824,-0.249172,500.072,90.0526,-0.224836,0,110000,0.22,0,50000000,0.115000002086163,2019-08-22 15:00:00
10039,SG,EU/CALL,N225,21500,2019-09-13,-4.275,500,0.018,0,31065.1,198.582,6.70223,4.27815,0.00639246,0,0,0,0,100000000,8.99999961256981,2019-08-21 16:35:00
10040,SG,EU/PUT,N225,18000,2019-09-13,-12.74,500,0.011,0,50953.4,-72.5491,18.5555,12.742,-0.00142383,0,2750000,2.75,0,100000000,5.49999997019768,2019-08-22 15:00:00
